document,avg_cosine_with_dovish,avg_cosine_with_hawkish
20180119.txt,0.6043513117684531,0.4394883247303594
20180213.txt,0.5524852818085088,0.4502333791719543
20180222.txt,0.4590241791946547,0.5242538230404967
20180226.txt,0.5604005373186536,0.507704506524735
20180305.txt,0.6159161635807582,0.42271405912580945
20180306.txt,0.4440945500539521,0.5399434465472981
20180326.txt,0.540833181515336,0.39966078236854324
20180403.txt,0.5306382114525701,0.49062074122370264
20180406.txt,0.4739223303504629,0.4421947645084336
20180417.txt,0.5608570813122442,0.4749818662718191
20180419.txt,0.5420738737006764,0.5617826011154677
20180504.txt,0.6114009969107067,0.4136092382987947
20180508.txt,0.554202460487124,0.39634039987560726
20180515.txt,0.5593648748319657,0.34954314932349273
20180516.txt,0.6291392371058464,0.45271165056952406
20180518.txt,0.5629601691746049,0.40366726365216354
20180525.txt,0.5712027148026781,0.3743870886253942
20180531.txt,0.4678127313298838,0.5207132223461356
20180620.txt,0.4404357047890549,0.48288967599397276
20180627.txt,0.5590062763255376,0.3979063229993559
20180718.txt,0.6257275735648969,0.42142615366416675
20180719.txt,0.589841701208599,0.3683316059824493
20180824.txt,0.4910520264370875,0.43328356641260063
20180912.txt,0.5018742518642774,0.5143192235308771
20180927.txt,0.5425579578712069,0.49595964160458794
20181002.txt,0.5629006206298506,0.42658233154096353
20181003.txt,0.541874757927397,0.3932580855148642
20181004.txt,0.4694540350986966,0.36367434146412614
20181015.txt,0.577719331480736,0.4263589489598607
20181017.txt,0.48950486234389246,0.3633557024295442
20181018.txt,0.5300043341659364,0.44248386933690026
20181025.txt,0.5477480063071618,0.5056573978792398
20181109.txt,0.6234071590006351,0.4399727629987817
20181113.txt,0.5683509523755518,0.3691061992150057
20181116.txt,0.6050964693228403,0.4449135054040838
20181127.txt,0.5578486951497885,0.4721629559277342
20181128.txt,0.5784315842957723,0.43991051537413445
20181203.txt,0.5608492328398893,0.38716560820130264
20181205.txt,0.5093109702579995,0.36779902597618663
20181206.txt,0.47099739183550293,0.43954984819435555
20181207.txt,0.48007915558799213,0.48580662536107944
20190109.txt,0.5906235776325264,0.38747721556389686
20190110.txt,0.5327601178238789,0.5198159422725439
20190201.txt,0.5594035977125168,0.48472781538963317
20190206.txt,0.5803477507416565,0.362234232744368
20190210.txt,0.5926084851517397,0.4469529431240231
20190211.txt,0.5861512513624297,0.43254620105855995
20190212.txt,0.4755206188559532,0.35136645171791314
20190222.txt,0.6001465466984531,0.43303773998778466
20190223.txt,0.5377412793311206,0.310409555550326
20190228.txt,0.4616891143082733,0.43093003609388225
20190307.txt,0.4970563872620977,0.4609100520931955
20190308.txt,0.614018645632056,0.40526701523139413
20190311.txt,0.5353112728758291,0.4059428376230327
20190312.txt,0.5884595427472713,0.4279793066493535
20190325.txt,0.5439348220825195,0.25596126914024353
20190328.txt,0.5244150097988196,0.4364466761307628
20190329.txt,0.5764171712777831,0.5035337414253842
20190402.txt,0.5764658046735299,0.39489046039210784
20190409.txt,0.5712010421686702,0.39896524132835487
20190410.txt,0.5607907995581627,0.46050529181957245
20190411.txt,0.5646824293136596,0.3822422830462456
20190503.txt,0.6449902358711982,0.3662688138381559
20190508.txt,0.6154295002872293,0.41424951634623786
20190509.txt,0.47263953974470496,0.37309931707568467
20190510.txt,0.4453960802082134,0.3577145346827582
20190513.txt,0.5648514197341034,0.3542892889651869
20190516.txt,0.521185232378612,0.503536065465936
20190517.txt,0.6130885129625147,0.4641333831982179
20190520.txt,0.5199256388141829,0.42385481705195177
20190530.txt,0.5491435618982429,0.42397436671668576
20190603.txt,0.5011063615481058,0.2355251337091128
20190604.txt,0.5707117701621399,0.4004819177321552
20190605.txt,0.5937001339850887,0.3758887057342837
20190621.txt,0.5719281569333143,0.4283994214845375
20190625.txt,0.5527570111825403,0.43477665062631127
20190701.txt,0.5747030770039037,0.40372711721889293
20190709.txt,0.5339317357712338,0.44571085246104114
20190711.txt,0.4248679849718298,0.49517424196182264
20190716.txt,0.5184133901045873,0.4444936037391097
20190805.txt,0.5603290750193841,0.43834545040867995
20190820.txt,0.5115449958377414,0.4251079060551193
20190823.txt,0.5319763578392647,0.39443300164990375
20190904.txt,0.6335664767968027,0.36978114592401606
20190905.txt,0.6051316114894131,0.48415497179437234
20190926.txt,0.5518241483776063,0.3974770786424066
20190927.txt,0.6249835935601017,0.3964569185648048
20191001.txt,0.5675914144764344,0.38456744359185296
20191003.txt,0.5827604941100128,0.42235058133513476
20191004.txt,0.5371482968330383,0.16121125221252441
20191007.txt,0.5353798907664087,0.31861684528282946
20191008.txt,0.5352495520602207,0.391459609281171
20191009.txt,0.579186190877642,0.43065435396773477
20191016.txt,0.5670207050377435,0.34289943438743914
20191017.txt,0.6146719441181276,0.3645983189344406
20191018.txt,0.5476490085323652,0.49653699186940986
20191021.txt,0.5534111428441424,0.43241341005672107
20191101.txt,0.5407057688291607,0.39309581542194216
20191108.txt,0.5685676437887278,0.4072593037377704
20191112.txt,0.5058623552322388,0.1281583160161972
20191114.txt,0.5646574991911196,0.4316771328827451
20191125.txt,0.4862408494832469,0.4473300975400443
20191126.txt,0.5370907523726995,0.5011460492964339
20191218.txt,0.5210159631151902,0.37827732133630076
20240108.txt,0.59413722338421,0.40058480658169304
20240116.txt,0.5096952402073404,0.4653270843884219
20240117.txt,0.5909172319036593,0.4320737832634569
20240202.txt,0.6353893620627267,0.33388654249055044
20240207.txt,0.5112713065811958,0.397939491695885
20240212.txt,0.6023930312570082,0.3476821966811058
20240214.txt,0.45487262652470517,0.4602008661470161
20240215.txt,0.5608258494223007,0.4635733185392438
20240216.txt,0.5797284745563895,0.41297591333198597
20240222.txt,0.5043363942810881,0.4302368576923185
20240227.txt,0.6026266196439433,0.4013814541489579
20240301.txt,0.5432921069313901,0.394995526760735
20240305.txt,0.6226373887724347,0.35306147768472634
20240307.txt,0.6255387167135874,0.4533478319644928
20240325.txt,0.4918115630295853,0.4553450762400491
20240327.txt,0.4735140400328513,0.512050355359077
20240401.txt,0.518896051815578,0.2832676835712932
20240402.txt,0.57875443147678,0.3410491893688838
20240403.txt,0.5930902031706828,0.4075146730550948
20240404.txt,0.5440610374013582,0.3379189109648852
20240405.txt,0.5165613194306692,0.36125852664311725
20240416.txt,0.5563594919692784,0.30086006898754786
20240418.txt,0.61666428964389,0.4546300306131965
20240503.txt,0.4659207880496979,0.5068189374038151
20240504.txt,0.5174345430873689,0.24017190357803234
20240508.txt,0.5964236920294554,0.3995532024165858
20240510.txt,0.5695460902388431,0.34949003714175264
20240513.txt,0.5637546435936348,0.28399420102367867
20240514.txt,0.5199769906202952,0.40832380518317224
20240515.txt,0.581288258433342,0.3889522551000118
20240517.txt,0.5558308728504926,0.39371863989591865
20240518.txt,0.5481276705861091,0.31431980174966156
20240519.txt,0.5348500018870389,0.25961643059013617
20240520.txt,0.5399440750854099,0.45938531608887057
20240521.txt,0.45806340337730944,0.4071327558485791
20240524.txt,0.5505808675205791,0.4173058421461732
20240528.txt,0.5429564416408539,0.5365822013806213
20240607.txt,0.5040581867098808,0.25441384920850396
20240614.txt,0.5274003211488115,0.36830954031741364
20240617.txt,0.573392775937401,0.3491631505753973
20240618.txt,0.4409629851579666,0.5213257411567421
20240624.txt,0.5648143257413591,0.32077337450214793
20240625.txt,0.45937938745913465,0.42595812171031305
20240626.txt,0.5363042223998296,0.42343792014865467
20240627.txt,0.5289535290665097,0.40040041761541806
20240709.txt,0.5434231229126454,0.43181054343779884
20240710.txt,0.552217991815673,0.42506960613860023
20240716.txt,0.5667307494077712,0.3406863050642097
20240717.txt,0.4387838547118008,0.4149497014780839
20240718.txt,0.6001067161560059,0.4173742599581202
20240724.txt,0.5298761196177582,0.46287620555737924
20240810.txt,0.5482247900434358,0.4262088595694581
20240819.txt,0.5833985452589235,0.3533950282358809
20240820.txt,0.5092679787396399,0.43666474656625226
20240823.txt,0.4653172258425642,0.5018238979909155
20240828.txt,0.5642145512959896,0.4269017351624102
20240906.txt,0.5865039858553145,0.4519753058751424
20240910.txt,0.6185716376761078,0.4199030739099452
20240920.txt,0.5343045327398512,0.567434709933069
20240924.txt,0.49653401842087874,0.49996681171066965
20240925.txt,0.41838528702754785,0.513451876017348
20240926.txt,0.5213495100643264,0.4307536366506524
20240930.txt,0.48658789909229827,0.5101707428693771
20241001.txt,0.5068982283594787,0.387485447179486
20241002.txt,0.6125820205325172,0.36724443380676564
20241008.txt,0.5225530712458188,0.358078201451969
20241009.txt,0.5556912391893263,0.41947879293948653
20241010.txt,0.5032721310853958,0.2939490622944302
20241011.txt,0.5735381492908965,0.3552760722789359
20241014.txt,0.5111870600190838,0.44590559639696
20241018.txt,0.5721859650634159,0.2867994722779666
20241023.txt,0.5475577879242781,0.41301112967293435
20241112.txt,0.5569563204633821,0.35884018665774886
20241114.txt,0.5323114198282224,0.4339804101154345
20241120.txt,0.4281204454600811,0.4738962167075702
20241122.txt,0.5822720811480567,0.3523698277209723
20241202.txt,0.5019042874559944,0.47898569105216016
20241203.txt,0.4427955912456649,0.4734656774118298
20250106.txt,0.4739600176402888,0.41963664309254717
20250108.txt,0.5435317190630096,0.44749902351389803
20250109.txt,0.5554278568128616,0.45011494974217686
20250131.txt,0.5713048569750094,0.39388936428704124
20250204.txt,0.46555362593069255,0.5171798749208868
20250205.txt,0.504238332141981,0.41112566257431876
20250207.txt,0.45875629567437703,0.506720438434018
20250212.txt,0.5735120433464385,0.3624722891601554
20250217.txt,0.555171180080909,0.3784070498811511
20250218.txt,0.5445412954847727,0.420328463045215
20250219.txt,0.5056176678700881,0.4361657667566429
20250220.txt,0.5499507052730409,0.4448715831696067
20250221.txt,0.5809190056303091,0.36118563767849354
20250225.txt,0.5106259423422895,0.36564017638359986
20250227.txt,0.5771072247753972,0.3641380524019832
20250307.txt,0.4494913379469561,0.4684469043129375
20250321.txt,0.672163317600886,0.5597467919190725
20250324.txt,0.5235753703575868,0.38876683744960105
20250325.txt,0.4450013857673515,0.4297173265685243
20250402.txt,0.5846690980195999,0.47092845249176024
20250403.txt,0.4848726136572659,0.4291432003118098
20250404.txt,0.5485494811745251,0.4246643442824921
20250407.txt,0.5746204753716787,0.2206707630927364
20250414.txt,0.49561729840934277,0.414965794266512
20250415.txt,0.5094648579071308,0.25081096320873364
20250416.txt,0.4904285886070945,0.5067077724432404
20250417.txt,0.5324171903805855,0.32068616482548606
20250422.txt,0.5326432785720426,0.38501848824350554
20250423.txt,0.6092023706954458,0.32201728159966675
20250503.txt,0.5380227398336603,0.2963035469142239
